product_id,product_name,category,subcategory,model_code,capacity,variant,mapping_confidence,docx_verification
PROD-007,T-4003 Three Phase (20-80kVA),UPS Solutions,On-line high frequency,OH3080T14400S,80kVA/80kW,Long Back-up,unverified,excel_only_no_docx_table
PROD-008,T-4003 Three Phase (10-180KVA),UPS Solutions,On-line high frequency,OH3010T15000S,10KVA,,unverified,excel_only_no_docx_table
PROD-008,T-4003 Three Phase (10-180KVA),UPS Solutions,On-line high frequency,OH3020T15000S,20KVA,,unverified,excel_only_no_docx_table
PROD-008,T-4003 Three Phase (10-180KVA),UPS Solutions,On-line high frequency,OH3030T15000S,30KVA,,unverified,excel_only_no_docx_table
PROD-008,T-4003 Three Phase (10-180KVA),UPS Solutions,On-line high frequency,OH3040T15000S,40KVA,,unverified,excel_only_no_docx_table
PROD-008,T-4003 Three Phase (10-180KVA),UPS Solutions,On-line high frequency,OH3060T15000S,60KVA,,unverified,excel_only_no_docx_table
PROD-008,T-4003 Three Phase (10-180KVA),UPS Solutions,On-line high frequency,OH3080T15000S,80KVA,,unverified,excel_only_no_docx_table
PROD-008,T-4003 Three Phase (10-180KVA),UPS Solutions,On-line high frequency,OH3100T15000S,100KVA,,unverified,excel_only_no_docx_table
PROD-008,T-4003 Three Phase (10-180KVA),UPS Solutions,On-line high frequency,OH3120T15000S,120KVA,,unverified,excel_only_no_docx_table
PROD-008,T-4003 Three Phase (10-180KVA),UPS Solutions,On-line high frequency,OH3160T15000S,160KVA,,unverified,excel_only_no_docx_table
PROD-008,T-4003 Three Phase (10-180KVA),UPS Solutions,On-line high frequency,OH3180T15000S,180KVA,,unverified,excel_only_no_docx_table
PROD-009,T-4003 Three Phase (300-1200KVA),UPS Solutions,On-line high frequency,OH3300T14400S,300KVA,,unverified,excel_only_no_docx_table
PROD-009,T-4003 Three Phase (300-1200KVA),UPS Solutions,On-line high frequency,OH3400T14400S,400KVA,,unverified,excel_only_no_docx_table
PROD-009,T-4003 Three Phase (300-1200KVA),UPS Solutions,On-line high frequency,OH3500T14400S,500KVA,,unverified,excel_only_no_docx_table
PROD-009,T-4003 Three Phase (300-1200KVA),UPS Solutions,On-line high frequency,OH3600T14400S,600KVA,,unverified,excel_only_no_docx_table
PROD-009,T-4003 Three Phase (300-1200KVA),UPS Solutions,On-line high frequency,OH3800T14800S,800KVA,,unverified,excel_only_no_docx_table
PROD-009,T-4003 Three Phase (300-1200KVA),UPS Solutions,On-line high frequency,OH31M0T14800S,1000KVA,,unverified,excel_only_no_docx_table
PROD-009,T-4003 Three Phase (300-1200KVA),UPS Solutions,On-line high frequency,OH31M2T14800S,1200KVA,,unverified,excel_only_no_docx_table
PROD-010,T-4101 Single Phase (1-6KVA),UPS Solutions,On-line low frequency,OL1001T80607S,1KVA/0.8KW,,unverified,excel_only_no_docx_table
PROD-010,T-4101 Single Phase (1-6KVA),UPS Solutions,On-line low frequency,OL1002T80607S,2KVA/1.6KW,,unverified,excel_only_no_docx_table
PROD-010,T-4101 Single Phase (1-6KVA),UPS Solutions,On-line low frequency,OL1003T80807S,3KVA/2.4KW,,unverified,excel_only_no_docx_table
PROD-010,T-4101 Single Phase (1-6KVA),UPS Solutions,On-line low frequency,OL1006T81607S,6KVA/4.8KW,,unverified,excel_only_no_docx_table
PROD-011,T-4101 Single Phase (1-15kVA),UPS Solutions,On-line low frequency,OL1001T80600S,1KVA/0.8KW,,unverified,excel_only_no_docx_table
PROD-011,T-4101 Single Phase (1-15kVA),UPS Solutions,On-line low frequency,OL1002T80600S,2KVA/1.6KW,,unverified,excel_only_no_docx_table
PROD-011,T-4101 Single Phase (1-15kVA),UPS Solutions,On-line low frequency,OL1003T80800S,3KVA/2.4KW,,unverified,excel_only_no_docx_table
PROD-011,T-4101 Single Phase (1-15kVA),UPS Solutions,On-line low frequency,OL1006T81600S,6KVA/4.8KW,,unverified,excel_only_no_docx_table
PROD-011,T-4101 Single Phase (1-15kVA),UPS Solutions,On-line low frequency,OL1006T80800S,6KVA/4.8KW,,unverified,excel_only_no_docx_table
PROD-011,T-4101 Single Phase (1-15kVA),UPS Solutions,On-line low frequency,OL1008T81600S,8KVA/6.4KW,,unverified,excel_only_no_docx_table
PROD-011,T-4101 Single Phase (1-15kVA),UPS Solutions,On-line low frequency,OL1010T81600S,10KVA/8KW,,unverified,excel_only_no_docx_table
PROD-011,T-4101 Single Phase (1-15kVA),UPS Solutions,On-line low frequency,OL1015T81600S,15KVA/12KW,,unverified,excel_only_no_docx_table
PROD-012,T-4102 Three Phase (6-30KVA),UPS Solutions,On-line low frequency,OL2006T83200S,6KVA/4.8KW,,unverified,excel_only_no_docx_table
PROD-012,T-4102 Three Phase (6-30KVA),UPS Solutions,On-line low frequency,OL2010T83200S,10KVA/8KW,,unverified,excel_only_no_docx_table
PROD-012,T-4102 Three Phase (6-30KVA),UPS Solutions,On-line low frequency,OL2015T83200S,15KVA/12KW,,unverified,excel_only_no_docx_table
PROD-012,T-4102 Three Phase (6-30KVA),UPS Solutions,On-line low frequency,OL2020T83200S,20KVA/16KW,,unverified,excel_only_no_docx_table
PROD-012,T-4102 Three Phase (6-30KVA),UPS Solutions,On-line low frequency,OL2030T83200S,30KVA/24KW,,unverified,excel_only_no_docx_table
PROD-013,T-4102 Three Phase (10-60KVA),UPS Solutions,On-line low frequency,OL2010T83200S,10KVA/8KW,,unverified,excel_only_no_docx_table
PROD-013,T-4102 Three Phase (10-60KVA),UPS Solutions,On-line low frequency,OL2020T83200S,20KVA/16KW,,unverified,excel_only_no_docx_table
PROD-013,T-4102 Three Phase (10-60KVA),UPS Solutions,On-line low frequency,OL2030T83200S,30KVA/24KW,,unverified,excel_only_no_docx_table
PROD-013,T-4102 Three Phase (10-60KVA),UPS Solutions,On-line low frequency,OL2040T83200S,40KVA/32KW,,unverified,excel_only_no_docx_table
PROD-013,T-4102 Three Phase (10-60KVA),UPS Solutions,On-line low frequency,OL2060T83200S,60KVA/48KW,,unverified,excel_only_no_docx_table
PROD-014,T-4103 Three Phase (10-40KVA),UPS Solutions,On-line low frequency,OL3010T93200S,10KVA/9KW,,unverified,excel_only_no_docx_table
PROD-014,T-4103 Three Phase (10-40KVA),UPS Solutions,On-line low frequency,OL3015T93200S,15KVA/13.5KW,,unverified,excel_only_no_docx_table
PROD-014,T-4103 Three Phase (10-40KVA),UPS Solutions,On-line low frequency,OL3020T93200S,20KVA/18KW,,unverified,excel_only_no_docx_table
PROD-014,T-4103 Three Phase (10-40KVA),UPS Solutions,On-line low frequency,OL3030T93200S,30KVA/27KW,,unverified,excel_only_no_docx_table
PROD-014,T-4103 Three Phase (10-40KVA),UPS Solutions,On-line low frequency,OL3040T93200S,40KVA/36KW,,unverified,excel_only_no_docx_table
