Category,Product Name,Price,URL,Model,Capacity,UPS Structure,Topology,Overall Efficiency (AC-AC ),Noise（In 2 Meters）,Working Temp,Storage Temp,Humidity,Safety Standard,EMC Standard,Protections,Generator Compatibility,DC Start,Manual Maintenance Bypass,Display,Alarm,Mute,ECO Mode,Input Voltage Range,Input Frequency Range,Input PF,THDI,Output Voltage,Output PF,Output Voltage Regulation,Output Freq. (BAT Mode),Output Waveform,Distortion,Overload,Crest Ratio,Efficiency,Short-Circuit,Output Abnormal,Noise Suppression,BAT Low,Dynamic Response,Auto-Restart,Software Control,Static Bypass Transfer Time,Static Bypass Range,Bypass - INV Transfer Time,Model (2),Capacity (2),Type,VDC - Ah,Charging Current,Standard Communication Port,Optional,Remote Software,Dimensions In Mm (D×W×H),Net Weight Kg,VDC,Dimensions In mm,Overall Efficiency,Maintenance Bypass,EPO Mode,Cabinet Standard,Cooling System,Altitude,Input Voltage,VDC-Ah,Model (3),Capacity (3),Model (4),Capacity (4),Net Weight (Kg),Overall Efficiency (AC-AC),Noise (In 2 Meters),Working Temp.,Storage Temp.,International Standard,Parallel Redundancy,Protection,Elevation,Soft-Start,Output Power Factor,Output Frequency,3 Phase Unbalanced,Output Volt Unbalanced Degree,Input/Output Phase Swift,Frequency Tracking Range,Static Bypass Input Range,Frequency Tracking Speed,Dimensions (W×D×H) mm,IP Rating,Output Freq,Frequency Range,Mute (2),VDC - AH Rating,Dimensions（W×D×H) Mm,National Standard,ECO,EPO Function,Dual Input Availability,Input Mis Phase Protection,Input Phase Lost Protection,Input Current,THD,Output Volt. Unbalanced,Shor T-Circuit,Charging Methods,Float Charge Voltage,Abnormal Protections,Size In Mm (W×H×D),VDC (2),Charging Current (2),Dimensions In Mm（W×D×H）,Dimensions In Mm（W×D×H） (2),Net Weight (Kg) (2),Bypass - INV. Transfer Time,Toplogy,Standards,Voltage Dynamic Response,Voltage Dynamic Response Time,Synchronization Range,Bypass Overload Ability,Dimensions (DxHxW),Dimensions (DxHxW) (2),Input Power Factor,Input Phase lost Protection,THDI (2),ECO mode,EPO mode,Inverter Efficiency,Battery voltage low,Auto-Restart Function,Dimensions in mm (WxDxH),Bypass -> INV Transfer Time,Cabinet Model,Cabinet Capacity In (KVA),Module,Module Capacity,Appearance,Output Volt. Unbalanced Degree,Cabinet Model (2),Cabinet Capacity In (KVA) (2),Module (2),Module Capacity (2),BAT Rated Volts/Units,Charging Current / Module,Communication Port,Module Size Mm (W×D×H),Cabinet Size Mm (W×D×H),Module Net Weight (Kg),Cabinet Net Weight (Kg),Output Freq.(Online Mode),Transfer Time,Std. Model Charging Current,Size In Mm (D×W×H),Ext. Model Charging Current,UPS Topology,Protection Functions,Surge/Short-Circuit Protection,Temperature,AVR,Output Voltage (AC Mode),Output Voltage (BAT Mode),Output Freq.(BAT Mode),AC-DC Switching Time,Rated Voltage/Units,Charging Time,Dimensions (W×H×D) mm,Display Method,Display Content,Battery Reversal,Output Short Circuit Protection,Low DC Voltage Protection,Over Temperature Protection,Overload Protection,USB Output,Communication,High AC Voltage Protection,Frequency,Input/Output Connector,Wave Form,AC Efficiency,Battery Efficiency,Battery Voltage,Battery Connector,Machine Size (W×D×H mm),Package Size (W×D×H mm),Gross Weight (Kg),Alarm (2),Battery Voltage Low,Auto-Restart function,Working Temperature,Storage Temperature,ECO / EPO,BAT Voltage Low,Nominal Voltage / Cell Qty,Equilized Charging Voltage,Lithium-ion pack Communication Port,25Ah dimensions (D×W×H),Net Weight Kg (2),50Ah dimensions (D×W×H),Net Weight Kg (3),100Ah dimensions (D×W×H),Net Weight Kg (4),Standard Conformity,Noise (1 Meter),Elevation (m),Output Voltage (Batt Mode),Output Frequency (Batt Mode),Bypass conversion time（ms),Output Power Factor (2),Rated Battery Voltage,Input Reverse Noise (VDC),Interface,Dry Contact,Size in mm（W×D×H）,Power,Design Structure,Safety Standards,Nominal Voltage,Efficiency（DC To AC）,Battery VDC,Nominal Charge Voltage,Size Mm( W×D×H ),Capacity (W),Phase & Waveform,Power Factor,Max Charging Current,Noise (In 2 Meters) DB,Working Temperature( ⁰C),LED Display,Large LCD,Switch Selector,Audible Alarm,Size (RM D*W*H) Mm,Order-Code,Efficiency (DC To DC),Battery Type (Vdc),Nominal Voltage (2),Solar Charger Input (Vdc),Solar Charger Current,Size (W*D*H),Input Frequency,Phase & Waveform (2),Output Frequency Range,Peak Power Ratio,DC Input Voltage,Over Charging,Battery Type,PV Input Voltage,Maximum Charging Current,MAX.Output Current (DC Loads),Size (RM D*W*H),External Structure,Large LCD Display,Working Mode,Model (Tower),Model (Wall Mountable),Output Power,Output Frequency (AC Mode),Output Voltage (DC Mode),Output Frequency (DC Mode),Charging current (Max),Storage Temperature/td>,Noise,Net Weight in Kg (Tower),Dimensions in mm (LxWxH),Net Weight in Kg (Wall Mount),Dimensions in mm (LxWxH) (2),Solar Charge Maximum PV Display open circuit voltage,MPPT Solar Input Voltage Range,Solar Charger Input,Solar Structure,Solar Charge Input,Backfill noise current,Bypass voltage range（Vac）,Rated Input current （A）,Bypass switching time（ms）,Rated output （W）,Output voltage & frequency,Output voltage accuracy(V),Precision of output freq. (Hz),Dynamic response,Power factor （PF）,Inverter efficiency,Noise（1 Meter）,Environment temperature,Max Altitude（m）,Rated input Vdc,Input voltage range (Vdc),Rated Input Current A,Supply Frequency,Insulation Resistance,Waveform Distortion,Insulation Class,Method Of Voltage Regulation,Insulated Strength,Overload Rating,Size (D*W*H),Voltage Regulation Mode,System Voltage,Regulation Accuracy,Cooling Type,Duty Type,Undervoltage Protect,Overvoltage Protect,Operational Temperature,Protection Class,Electrical Safety,Relative Humidity,Dimensions (WxDxH),Under Voltage Protection,Over Voltage Protection,Start Delay Protection,Weight(Kg),Power Rating (KVA),Control Method,Input Rated Voltage,Voltage Range,Output Rated Voltage,Stabilizing Accuracy,Response time,Delay time,Over Voltage,Under Voltage,Short Circuit,Manual Bypass,Digital Display,Working Status,Ambient Temperature,Size WxDxH (mm),Net Weight (KG),Phase Loss,Phase Dislocation,Input & Output breakers,Gross Weight (KG),Static Bypass,Voltage-endurance,Rate Voltage,Rate Capacity,Minimum Capacity,Size（L*W*H),Weight,Discharge Current,Charge Current,Cut-Off Discharge Voltage,Average Charge voltage,Charging Temperature,Discharging Temperature,Charge Mode,Voltage consistency,Capacity consistency,Self-Discharge,Cycle life,Standard Discharge,Maximum Discharge Current,Discharge Cut-Off Voltage,Charge Voltage,Standard Charge,Maximum Charge Current,Resistance,Operating Temperature Range,Storage Temperature Range,Storage Humidity,Charge Discharge Interface,Mode Of Communication,Shell Material,Voltage (Vac),Frequency (Hz),Voltage (Vac) (2),Frequency (Hz) (2),Waveform,Transfer Time (Ms),Isolation,Battery Votlage (Vdc),Charger Current (A) Max,Communication Interface,Porotection,Input/Output Connections,Input Plug,Output Sockets,Cooling,Working Temperature (°C),Relativite Humidity,Dimensions (WxDxH) (Mm),Weight (Kg),Structure,Input Frequency Range(Hz),Bypass Voltage,Input Frequency(Hz),Output Frequency (Hz),Recovery Time,Inverter Bypass Transfer Time,Cabinet Order-Code,Mounting,Dimensions (WxDxH) Mm,Standard Level,Cable Entry,Thickness,Environment Monitoring System,Door,Design,Internal Height,Material,Space For Load,Battery Rated Volts,Battery Rated Units,Backup Time,Charger (A) Max,Total Refrigerating O/P (KW),Total Capacity (KW),Environmental Range,Internal Size（Mm）,Power Supply,Ventilation,Input Volt. Range,Input Volt. Range (2),Voltage Regulation,Frequency Regulation,Size (WxDxH)Mm,"Temp., Humi., Ports",Rs485 Ports,Rs232 Ports,Display (2),Voltage Detection Range,Current Detection Range,Digits,Screen Size,Working Volt,Cabinet Size（Mm）,Rated Power (kVA),Rated Output Current,waveform Distrotion,Temperature rise,Productiveness,Dielectric Strength,Insulation Speed,waveform Distrotion (2),Reaction Speed,Overload（%）,No more than (minutes),Size mm (L*W*H),Ambient temperature,Air relative humidity,Current (A),Volatge (Vac),Transfer (Ms),Outlet,Panel Display,Temperature( ̊C ),Voltage,Current,Voltage / Frequency,Load Crest Factor,AC/AC Efficiency,Load PF Range,Dimensions (HxWxD)Mm,Monitoring Software,Maintenance Switch,RS232 Multiplexer,Internal Resistive Load,Order Code,Rated Voltage,Max Output Current,Output Connection,Rated Short Circuit Current,Rated Voltage (2),Input Connection,Cable Length,Cable Quantity,Load Capacity,Maximum Input Current,Maximum Circuit Current,Dimension (W*D*H),Height,Net Weight,Gross Weight,Package: W*D*H,Color,Working Humidity,Certification,Warranty
i-power > Product Line > UPS Solutions > On-Line High Frequency Series,"T-4001 TL 1-1 (0.8,0.9PF), with built-in battery (1-10KVA)",,https://i-sol.co.uk/t-4001-1-in-1-out-with-built-in-battery-1-10kva,OH1001T80207S | OH1001T80407S | OH1003T80607S | OH1006T91607S | OH1010T91607S,1KVA / 0.8KW | 2KVA / 1.6KW | 3KVA /2.4KW | 6KVA / 5.4KW | 10KVA / 9KW,Online Double Conversion - Tower Type,"High Frequency, Transformer Less",> 90%,< 55dB,0-40℃,-15 ~ 60℃（Without BATs）,< 95% Non Condensing,GB/T14715; EN62040-1,"EN 50091-1/2, EN62040-2","Overload, Short-Circuit, Over Temp., Utility Power Voltage High/Low, BAT Voltage High/Low",Available,Available,None | Optional,LCD/LED,Auto,Auto,Available,110~300VAC ±5VAC (175-285VAC at full load),40Hz to 70Hz (Auto Sensing),0.99,< 5%,220Vac,0.8 | 0.9,220Vac±1% (Static Load); 220Vac±2% (50-0% Sudden Change); 220Vac±3% (100-0% Sudden Change),50Hz±0.2%,Pure Sine Wave,< 1%（Linear Full Load），< 3%（100% Non-Linear Load）,105 - 125% for 1 Minute126 - 150%for 30 seconds | 105 - 125% for 10 Minutes126 - 150% for 1 Minute,3∶1,> 90%,"Circuit Auto Protection, Output Voltage/Current 0",INV Output Auto-Locked Protection,EMI/RFI Wave Filter,Shutdown Protection,3% At Full Load，Recovering In 20ms,Available,Available,0ms,80Vac± 5%～285Vac±5%,2ms,OH1001T80207S | OH1002T80407S | OH1003T80607S | OH1006T91607S | OH1010T91607S,1KVA / 0.8KW | 2KVA / 1.6KW | 3KVA /2.4KW | 6KVA / 5.4KW | 10KVA / 9KW,Sealed Lead Acid Maintenance Free,24Vdc - 7Ah | 48Vdc - 7Ah | 72Vdc - 7Ah | 192Vdc - 7Ah | 192Vdc - 7Ah,1A | 1A | 1A | 1A | 1A,Rs232,SNMP/RS485/ Dry Contact,"Multi-Functional Monitoring System, Online And BAT Mode Status, BAT Fault, Remote Control",145x220x318 | 145x220x390 | 190x318x368 | 190x470x534,8.9 | 14 | 21.6 | 46.5 | 47.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i-power > Product Line > UPS Solutions > On-Line High Frequency Series,"T-4001 TL 1-1 (0.8,0.9PF), without battery (1-10KVA)",,https://i-sol.co.uk/on-line-high-frequency-series,OH1001T80300S | OH1002T80600S | OH1003T80800S | OH1006T91600S | OH1010T91600S,1KVA / 0.8KW | 2KVA / 1.6KW | 3KVA /2.4KW | 6KVA / 5.4KW | 10KVA / 9KW,Online Double Conversion - Tower Type,"High Frequency, Transformer Less",> 90%,< 55dB,0-40℃,-15 ~ 60℃（Without BATs）,< 95% Non Condensing,GB/T14715; EN62040-1,"EN 50091-1/2, EN62040-2","Overload, Short-Circuit, Over Temp., Utility Power Voltage High/Low, BAT Voltage High/Low",Available,Available,None | Optional,LCD/LED,Auto,Auto,Available,110~300VAC ±5VAC (175-285VAC at full load),40Hz to 70Hz (Auto Sensing),0.99,< 5%,220Vac,0.8 | 0.9,220Vac±1% (Static Load); 220Vac±2% (50-0% Sudden Change); 220Vac±3% (100-0% Sudden Change),50Hz±0.2%,Pure Sine Wave,< 1%（Linear Full Load），< 3%（100% Non-Linear Load）,105 - 125% for 1 Minute126 - 150%for 30 seconds | 105 - 125% for 10 Minutes126 - 150% for 1 Minute,3:1,> 90%,"Circuit Auto Protection, Output Voltage/Current 0",INV Output Auto-Locked Protection,EMI/RFI Wave Filter,Shutdown Protection,3% At Full Load，Recovering In 20ms,Available,Available,0ms,80Vac± 5%～285Vac±5%,2ms,OH1001T80300S | OH1002T80600S | OH1003T800S | OH1006T91600S | OH1010T91600S,1KVA / 0.8KW | 2KVA / 1.6KW | 3KVA /2.4KW | 6KVA / 5.4KW | 10KVA / 9KW,Sealed Lead Acid Maintenance Free,,Max 4A | Max 4A | Max 4A | Max 4A (10A Optional),Rs232,SNMP/RS485/ Dry Contact,"Multi-Functional Monitoring System, Online And BAT Mode Status, BAT Fault, Remote Control",,3.5 | 5.9 | 8.3 / 10 | 16,36 | 72 | 96 | 192,145X220X248 | 145X220X318 | 190X318X368 | 190X340X528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i-power > Product Line > UPS Solutions > On-Line High Frequency Series,"T-4001 TL 1-1 (1PF), Without battery (1-10KVA)",,https://i-sol.co.uk/on-line-high-frequency-series-8-2,OH1001T10300S | OH1002T10600S | OH1003T10800S | OH1006T11600SOH1006T12000S | OH1010T11600SOH1010T12000S,1KVA/1KW | 2KVA/2KW | 3KVA/3KW | 6KVA/6KW | 10KVA/10KW,Online Double Conversion - Tower Type,"High Frequency, Transformer Less",,< 50dB,-10℃ to 40℃,-15 to 60℃（Without BATs）,< 20-95% Non Condensing,"GB/T 7260, GB/T 4943, YD/T1095, TLC","EN/IEC 61000, EN/IEC 62040","Overload, Short-Circuit, Over Temp., Uti Protections lity Power Voltage High/low, BAT Voltage High/low",Available,Available,,"LCD Display: Multi-Language with all kinds of messages. Input/ Output /bypass Status, ECO Mode , charging status, load status, Rectifier status, INV. Temp, LED Indicators: UPS States Indicator"" | LCD Display: Multi-Language with all kinds of messages. Input/ Output / bypass Status, ECO Mode , charging status, load status, Rectifier status, INV. Temp, Colored LCD screen：Working (days)； SN； Calendar、time；UPS model & structure； Version No.；history log records；history fault records； language set；ECO set； time & calendar set；battery test & so on. LED Indicators: UPS States Indicator","Mains abnormal or Fault, BAT Voltage High/low, overload、UPS fault, shot circuit etc",Automatic,Available,"110-300Vac at 50% load,176-276Vac at 100% loads (±5V)",44~56Hz or 54Hz~66Hz ±10Hz (adjustable),0.99,"< 3% linear load, < 5% Non-linear load",220Vac（208/220/230/240Vac available),1,220Vac±1%（Static Load）；220Vac±2%（50-0% Sudden Change）；220Vac±5%（100-0% Sudden Change),50Hz±0.1%（Battery mode),Pure Sine Wave,< 2%（Linear Full Load），< 4%（100% Non-Linear Load）,"Utility mode：102%~105% load, more than 30mins, 105%~125% load,more than 10mins ,125%~150% load, 30s, >150% load, 500msBattery mode：102%~105% load, more than 10mins, 105%~125% load,more than 1mins, 125%~150% load, 10s, >150% load, 500ms",3:1,> 95%,"Circuit Auto Protection, Output Voltage/Current 0",INV Output Auto-Locked Protection,EMI/RFI Wave Filter,Shutdown Protection,3% At Full Load，Recovering In 20ms,Available,Available,0ms,80Vac± 5%～285Vac±5%,< 4ms | < 2ms,,,Sealed Lead Acid Maintenance Free,,5-10 A | 5-10 A | 5-10 A | 6-12 A | 6-12 A,Std.RS232/EPO；SNMP/485/dry contact （optional),SNMP/RS485/ Dry Contact,"Multi-functional Monitoring System, Online and BAT Mode Status, utility fault, BAT Fault, Remote Control",144×282×214 | 144×397×214 | 190×421×318 | 190×360×335,5 | 7 | 7.5 | 10 | 10.5,36 VDC | 72 VDC | 96 VDC | 192/240 VDC | 192/240 VDC,,> 95%（98.5% under ECO mode),None | Optional,Available,IP20,Intelligent Speed Control Cooling Fan,"＜11000M，Without Derated, 1000m ＜altitude＜ 4500m, refer to IEC62040",220Vac（208/220/230/240Vac available),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i-power > Product Line > UPS Solutions > On-Line High Frequency Series,"T-4001 TL 1-1 (1PF), With built-in battery (1-10KVA)",,https://i-sol.co.uk/on-line-high-frequency-series-8,OH1001T10207SOH1001T10209S | OH1002T10407SOH1002T10409S | OH1003T10607SOH1003T10609S | OH1006T11607SOH1006T11609S | OH1010T11607SOH1010T11609S,1KVA / 1KW | 2KVA / 2KW | 3KVA / 3KW | 6KVA / 6KW | 10KVA / 10KW,Online Double Conversion - Tower Type,"High Frequency, Transformer Less",,< 50dB,-10℃ to 40℃,-15 to 60℃（Without BATs）,< 20-95% Non Condensing,"GB/T 7260, GB/T 4943, YD/T1095, TLC","EN/IEC 61000, EN/IEC 62040","Overload, Short-Circuit, Over Temp., Uti Protections lity Power Voltage High/low, BAT Voltage High/low",Available,Available,None | Optional,"LCD Display: Multi-Language with all kinds of messages. Input/ Output /bypass Status, ECO Mode , charging status, load status, Rectifier status, INV. Temp, LED Indicators: UPS States Indicator"" | LCD Display: Multi-Language with all kinds of messages. Input/ Output / bypass Status, ECO Mode , charging status, load status, Rectifier status, INV. Temp, Colored LCD screen：Working (days)； SN； Calendar、time；UPS model & structure； Version No.；history log records；history fault records； language set；ECO set； time & calendar set；battery test & so on. LED Indicators: UPS States Indicator","Mains abnormal or Fault, BAT Voltage High/low, overload、UPS fault, shot circuit etc",Automatic,Available,"110-300Vac at 50% load,176-276Vac at 100% loads (±5V)",44~56Hz or 54Hz~66Hz ±10Hz (adjustable),0.99,"< 3% linear load, < 5% Non-linear load",220Vac（208/220/230/240Vac available),1,220Vac±1%（Static Load）；220Vac±2%（50-0% Sudden Change）；220Vac±5%（100-0% Sudden Change),50Hz±0.1%（Battery mode),Pure Sine Wave,< 2%（Linear Full Load），< 4%（100% Non-Linear Load）,"Utility mode：102%~105% load, more than 30mins, 105%~125% load,more than 10mins ,125%~150% load, 30s, >150% load, 500msBattery mode：102%~105% load, more than 10mins, 105%~125% load,more than 1mins, 125%~150% load, 10s, >150% load, 500ms",3:1,> 95%,"Circuit Auto Protection, Output Voltage/Current 0",INV Output Auto-Locked Protection,EMI/RFI Wave Filter,Shutdown Protection,3% At Full Load，Recovering In 20ms,Available,Available,0ms,80Vac± 5%～285Vac±5%,< 4ms | < 2ms,,,Sealed Lead Acid Maintenance Free,,1A,Rs232,SNMP/RS485/ Dry Contact,"Multi-Functional Monitoring System, Online And BAT Mode Status, BAT Fault, Remote Control",144×282×214 | 144×397×214 | 190×421×318 | 190×360×670,9 / 10 | 15 / 17 | 20 / 23 | 46 / 54 | 47 / 55,,,> 95%（98.5% under ECO mode),,Available,IP20,Intelligent Speed Control Cooling Fan,"＜11000M，Without Derated, 1000m ＜altitude＜ 4500m, refer to IEC62040",220Vac（208/220/230/240Vac available),24VDC - 7/9Ah | 48VDC - 7/9Ah | 72VDC - 7/9Ah | 192VDC - 7/9Ah | 192VDC - 7/9Ah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i-power > Product Line > UPS Solutions > On-Line High Frequency Series,"T-4002 TL 3-1 (0.9PF), Without battery (10-20k)",,https://i-sol.co.uk/on-line-high-frequency-series-2-2,OH2010T81600S | OH2015T81600S | OH2020T81600S,10KVA / 8KW | 15KVA / 12KW | 20KVA / 16KW,Online Double Conversion - Tower Type,"High Frequency, Transformer Less",> 90%,< 50dB,0-40℃,-15 ~ 60℃（Without BATs）,< 95% Non Condensing,GB/T14715; EN62040-1,"EN 50091-1/2, EN62040-2","Overload, Short-Circuit, Over Temp., Utility Power Voltage High/Low, BAT Voltage High/Low",Available,Available,Optional,LCD/LED,Auto,Auto,,304 ~ 478Vac,45-65Hz（Auto Tracking）,0.99,< 5%,220Vac,0.8/0.9,220Vac±1%（Static Load）；220Vac±2%（50-0% Sudden Change）；220Vac±3%（100-0% Sudden Change）,50Hz± 0.2%,Pure Sine Wave,< 1%（Linear Full Load），< 3%（100% Non-Linear Load）,> 120%: More Than 1 Min> 150%: 300ms Transfer To Bypass,3∶1,> 90%,"Circuit Auto Protection, Output Voltage/Current",INV Output Auto-Locked Protection,EMI/RFI Wave Filter,Shutdown Protection,3% At Full Load，Recovering In 20ms,Available,Available,0ms,80Vac± 5%～285Vac±5%,2ms,OH2010T92000S | OH2015T92000S | OH2020T91600S,10KVA / 9KW | 15KVA / 13.5KW | 20KVA / 18KW,Sealed Lead Acid Maintenance Free,,4 A,Rs232,SNMP/RS485/ Dry Contact,"Multi-Functional Monitoring System, Online And BAT Mode Status, BAT Fault, Remote Control",190x340x528 | 238x528x555,,192 Vdc,,,,,,,,,,OH2010T81600S | OH2015T81600S | OH2020T81600S,10KVA / 8KW | 15KVA / 12KW | 20KVA / 16KW,OH2010T92000S | OH2015T92000S | OH2020T91600S,10KVA / 9KW | 15KVA / 13.5KW | 20KVA / 18KW,19 | 27.5 | 28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i-power > Product Line > UPS Solutions > On-Line High Frequency Series,"T-4003 TL 3-3 (0.8PF), With built-in battery (10-20KVA)",,https://i-sol.co.uk/on-line-high-frequency-series-5,OH3010T81607S | OH3020T82007S,10KVA/8KW | 20KVA/16KW,Online Double Conversion,High Frequency Online Design,,,,,< 95% Non-Condesing,,,,Available,Available,Available,LCD Display With Multi Information；Output Voltage Selectable：200/208/220/230/240， Output Frequency Selectable：0/50/60Hz; +LED ( Working Diagram),,Auto,,"265-494Vac With 100% Full Load, No Load Can Reach 210-494Vac",40-70Hz (Adjustable),0.99,< 5%,Line Voltage: 380×（1±1%）AC Or Phase Voltage: 220×（1±1%）AC,,380Vac±1%(Static Load); 380Vac ± 3%(50-0% Sudden Change); 380Vac±5% (100-0% Sudden Change),,Pure Sine Wave,< 1%（Linear Full Load），<3%（Non-Linear Full Load）,105-125%±5% More Than 1 Minute；> 125-130%±5% More Than 30 Seconds；≥ 135%±5% More Than 300 Ms,3∶1,,"Circuit Auto-Protection, Bypass Switch Tripping",INV. Output Auto-Locked Protection,,Shutdown Protection,,,,,,2ms,OH2010T81600S | OH2020T81600S,10KVA / 8KW | 20KVA / 16KW,Sealed Lead Acid Maintenance Free,192Vdc - 7Ah | 240Vdc - 7Ah,1 Amp,Rs232,SNMP/RS485/ Dry Contact,"Multi-Functional Monitoring System, Online And BAT Mode Status, BAT Fault, Remote Control",,,,,,,,IP20,Intelligent Speed Control Cooling Fan,,380Vac+N+W,,,,,,72 | 98,> 91%,< 60dB,-10-40℃,-25 ~ 6 0 ℃（ Without Batteries）,EN 50091-1/2， EN62040-1，EN62040-2,Parallel Redundancy Upto 8 Units,"Overload, Short-Circuit, Over Temp., Utility Power Voltage High/Low, BAT Voltage High/Low",＜1500M，Without Derated,> 20 Seconds,0.8,"46-54Hz Sync With Utility Grid, More Than The Range Lock At 50Hz, Battery Mode Is 50/60Hz±0.1%",Allow 3 Phase 100% Unbalanced,≤1%(Balanced Load); ≤2%(50% Balanced Load),≤1°(Balanced Load); ≤2°(50% Balanced Load),46Hz to 54Hz,380Vac（-15~+15%）,0.5-2hz/S,260×560×717 | 260×710×717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
